position, team_name, matches_played, points, season
1,Juventus,38,91,2005-2006
2,Inter,38,76,2005-2006
3,AS Roma,38,69,2005-2006
4,AC Milan,38,58,2005-2006
5,Chievo Verona,38,54,2005-2006
6,US Palermo,38,52,2005-2006
7,AS Livorno,38,49,2005-2006
8,Empoli FC,38,45,2005-2006
9,Parma FC,38,45,2005-2006
10,ACF Fiorentina,38,44,2005-2006
11,Ascoli Calcio,38,43,2005-2006
12,Udinese Calcio,38,43,2005-2006
13,Sampdoria,38,41,2005-2006
14,Reggina Calcio,38,41,2005-2006
15,Cagliari Calcio,38,39,2005-2006
16,AC Siena,38,39,2005-2006
17,Lazio Roma,38,32,2005-2006
18,FC Messina,38,31,2005-2006
19,US Lecce,38,29,2005-2006
20,Treviso FBC,38,21,2005-2006
1,Inter,38,97,2006-2007
2,AS Roma,38,75,2006-2007
3,Lazio Roma,38,62,2006-2007
4,AC Milan,38,61,2006-2007
5,US Palermo,38,58,2006-2007
6,ACF Fiorentina,38,58,2006-2007
7,Empoli FC,38,54,2006-2007
8,Atalanta,38,50,2006-2007
9,Sampdoria,38,49,2006-2007
10,Udinese Calcio,38,46,2006-2007
11,AS Livorno,38,43,2006-2007
12,Parma FC,38,42,2006-2007
13,Calcio Catania,38,41,2006-2007
14,Reggina Calcio,38,40,2006-2007
15,AC Siena,38,40,2006-2007
16,Torino FC,38,40,2006-2007
17,Cagliari Calcio,38,40,2006-2007
18,Chievo Verona,38,39,2006-2007
19,Ascoli Calcio,38,27,2006-2007
20,FC Messina,38,26,2006-2007
1,Inter,38,85,2007-2008
2,AS Roma,38,82,2007-2008
3,Juventus,38,72,2007-2008
4,ACF Fiorentina,38,66,2007-2008
5,AC Milan,38,64,2007-2008
6,Sampdoria,38,60,2007-2008
7,Udinese Calcio,38,57,2007-2008
8,SSC Napoli,38,50,2007-2008
9,Atalanta,38,48,2007-2008
10,Genoa CFC,38,48,2007-2008
11,US Palermo,38,47,2007-2008
12,Lazio Roma,38,46,2007-2008
13,AC Siena,38,44,2007-2008
14,Cagliari Calcio,38,42,2007-2008
15,Torino FC,38,40,2007-2008
16,Reggina Calcio,38,40,2007-2008
17,Calcio Catania,38,37,2007-2008
18,Empoli FC,38,36,2007-2008
19,Parma FC,38,34,2007-2008
20,AS Livorno,38,30,2007-2008
1,Inter,38,84,2008-2009
2,Juventus,38,74,2008-2009
3,AC Milan,38,74,2008-2009
4,ACF Fiorentina,38,68,2008-2009
5,Genoa CFC,38,68,2008-2009
6,AS Roma,38,63,2008-2009
7,Udinese Calcio,38,58,2008-2009
8,US Palermo,38,57,2008-2009
9,Cagliari Calcio,38,53,2008-2009
10,Lazio Roma,38,50,2008-2009
11,Atalanta,38,47,2008-2009
12,SSC Napoli,38,46,2008-2009
13,Sampdoria,38,46,2008-2009
14,AC Siena,38,44,2008-2009
15,Calcio Catania,38,43,2008-2009
16,Chievo Verona,38,38,2008-2009
17,Bologna FC,38,37,2008-2009
18,Torino FC,38,34,2008-2009
19,Reggina Calcio,38,31,2008-2009
20,US Lecce,38,30,2008-2009
1,Inter,38,82,2009-2010
2,AS Roma,38,80,2009-2010
3,AC Milan,38,70,2009-2010
4,Sampdoria,38,67,2009-2010
5,US Palermo,38,65,2009-2010
6,SSC Napoli,38,59,2009-2010
7,Juventus,38,55,2009-2010
8,Parma FC,38,52,2009-2010
9,Genoa CFC,38,51,2009-2010
10,AS Bari,38,50,2009-2010
11,ACF Fiorentina,38,47,2009-2010
12,Lazio Roma,38,46,2009-2010
13,Calcio Catania,38,45,2009-2010
14,Chievo Verona,38,44,2009-2010
15,Udinese Calcio,38,44,2009-2010
16,Cagliari Calcio,38,44,2009-2010
17,Bologna FC,38,42,2009-2010
18,Atalanta,38,35,2009-2010
19,AC Siena,38,31,2009-2010
20,AS Livorno,38,29,2009-2010
1,AC Milan,38,82,2010-2011
2,Inter,38,76,2010-2011
3,SSC Napoli,38,70,2010-2011
4,Udinese Calcio,38,66,2010-2011
5,Lazio Roma,38,66,2010-2011
6,AS Roma,38,63,2010-2011
7,Juventus,38,58,2010-2011
8,US Palermo,38,56,2010-2011
9,ACF Fiorentina,38,51,2010-2011
10,Genoa CFC,38,51,2010-2011
11,Chievo Verona,38,46,2010-2011
12,Parma FC,38,46,2010-2011
13,Calcio Catania,38,46,2010-2011
14,Cagliari Calcio,38,45,2010-2011
15,AC Cesena,38,43,2010-2011
16,Bologna FC,38,42,2010-2011
