position, team_name, matches_played, points, season
1,Juventus,10,27,2005-2006
2,Inter,10,19,2005-2006
3,AS Livorno,10,18,2005-2006
4,US Palermo,10,16,2005-2006
5,Chievo Verona,10,16,2005-2006
6,AS Roma,10,15,2005-2006
7,Sampdoria,10,14,2005-2006
8,Udinese Calcio,10,14,2005-2006
9,AC Siena,10,14,2005-2006
10,Empoli FC,10,14,2005-2006
11,Ascoli Calcio,10,11,2005-2006
12,Reggina Calcio,10,9,2005-2006
13,FC Messina,10,8,2005-2006
14,Parma FC,10,6,2005-2006
15,Treviso FBC,10,5,2005-2006
16,Cagliari Calcio,10,4,2005-2006
17,US Lecce,10,4,2005-2006
18,AC Milan,10,-5,2005-2006
19,ACF Fiorentina,10,-8,2005-2006
20,Lazio Roma,10,-15,2005-2006
1,Inter,10,24,2006-2007
2,US Palermo,10,24,2006-2007
3,AS Roma,10,20,2006-2007
4,Atalanta,10,16,2006-2007
5,AS Livorno,10,16,2006-2007
6,AC Siena,10,16,2006-2007
7,Udinese Calcio,10,13,2006-2007
8,FC Messina,10,13,2006-2007
9,Calcio Catania,10,13,2006-2007
10,Empoli FC,10,12,2006-2007
11,Sampdoria,10,10,2006-2007
12,Cagliari Calcio,10,10,2006-2007
13,Lazio Roma,10,9,2006-2007
14,Parma FC,10,8,2006-2007
15,Torino FC,10,8,2006-2007
16,AC Milan,10,7,2006-2007
17,Ascoli Calcio,10,4,2006-2007
18,Chievo Verona,10,3,2006-2007
19,Reggina Calcio,10,1,2006-2007
20,ACF Fiorentina,10,0,2006-2007
1,Inter,10,24,2007-2008
2,AS Roma,10,21,2007-2008
3,Juventus,10,20,2007-2008
4,ACF Fiorentina,10,20,2007-2008
5,Udinese Calcio,10,18,2007-2008
6,Atalanta,10,15,2007-2008
7,SSC Napoli,10,14,2007-2008
8,Calcio Catania,10,14,2007-2008
9,US Palermo,10,14,2007-2008
10,AC Milan,10,13,2007-2008
11,Genoa CFC,10,13,2007-2008
12,Torino FC,10,11,2007-2008
13,Sampdoria,10,11,2007-2008
14,Lazio Roma,10,10,2007-2008
15,Parma FC,10,10,2007-2008
16,Cagliari Calcio,10,9,2007-2008
17,AC Siena,10,8,2007-2008
18,Empoli FC,10,8,2007-2008
19,AS Livorno,10,5,2007-2008
20,Reggina Calcio,10,5,2007-2008
1,AC Milan,10,22,2008-2009
2,Udinese Calcio,10,21,2008-2009
3,Inter,10,21,2008-2009
4,SSC Napoli,10,20,2008-2009
5,Lazio Roma,10,19,2008-2009
6,Juventus,10,18,2008-2009
7,ACF Fiorentina,10,17,2008-2009
8,Genoa CFC,10,17,2008-2009
9,US Palermo,10,16,2008-2009
10,Calcio Catania,10,15,2008-2009
11,Atalanta,10,14,2008-2009
12,AC Siena,10,12,2008-2009
13,US Lecce,10,11,2008-2009
14,Cagliari Calcio,10,10,2008-2009
15,AS Roma,10,10,2008-2009
16,Sampdoria,10,10,2008-2009
17,Torino FC,10,8,2008-2009
18,Chievo Verona,10,6,2008-2009
19,Bologna FC,10,6,2008-2009
20,Reggina Calcio,10,5,2008-2009
1,Inter,10,25,2009-2010
2,Juventus,10,21,2009-2010
3,Sampdoria,10,20,2009-2010
4,Parma FC,10,17,2009-2010
5,AC Milan,10,16,2009-2010
6,Genoa CFC,10,16,2009-2010
7,US Palermo,10,15,2009-2010
8,ACF Fiorentina,10,15,2009-2010
9,AS Bari,10,14,2009-2010
10,SSC Napoli,10,14,2009-2010
11,Chievo Verona,10,14,2009-2010
12,Udinese Calcio,10,14,2009-2010
13,Cagliari Calcio,10,13,2009-2010
14,AS Roma,10,11,2009-2010
15,Lazio Roma,10,10,2009-2010
16,Atalanta,10,9,2009-2010
17,Bologna FC,10,9,2009-2010
18,AS Livorno,10,9,2009-2010
19,Calcio Catania,10,7,2009-2010
20,AC Siena,10,5,2009-2010
1,Lazio Roma,10,22,2010-2011
2,AC Milan,10,20,2010-2011
3,Inter,10,19,2010-2011
4,Juventus,10,18,2010-2011
5,SSC Napoli,10,18,2010-2011
6,Sampdoria,10,15,2010-2011
7,AS Roma,10,15,2010-2011
8,US Palermo,10,14,2010-2011
9,Chievo Verona,10,14,2010-2011
10,Udinese Calcio,10,14,2010-2011
11,ACF Fiorentina,10,12,2010-2011
12,Cagliari Calcio,10,11,2010-2011
13,Calcio Catania,10,11,2010-2011
14,Genoa CFC,10,11,2010-2011
15,US Lecce,10,11,2010-2011
16,Brescia Calcio,10,10,2010-2011
17,Bologna FC,10,8,2010-2011
18,Parma FC,10,8,2010-2011
19,AC Cesena,10,8,2010-2011
20,AS Bari,10,8,2010-2011
1,Juventus,10,20,2011-2012
2,AC Milan,10,20,2011-2012
3,Udinese Calcio,10,19,2011-2012
4,Lazio Roma,10,19,2011-2012
5,SSC Napoli,10,17,2011-2012
6,Calcio Catania,10,15,2011-2012
7,AC Siena,10,14,2011-2012
8,AS Roma,10,14,2011-2012
9,US Palermo,10,14,2011-2012
10,ACF Fiorentina,10,13,2011-2012
11,Cagliari Calcio,10,13,2011-2012
12,Parma FC,10,13,2011-2012
13,Atalanta,10,12,2011-2012
14,Genoa CFC,10,12,2011-2012
15,Inter,10,11,2011-2012
16,Chievo Verona,10,10,2011-2012
17,Bologna FC,10,10,2011-2012
18,Novara Calcio,10,8,2011-2012
19,US Lecce,10,5,2011-2012
20,AC Cesena,10,3,2011-2012
1,Juventus,10,28,2012-2013
2,Inter,10,24,2012-2013
3,SSC Napoli,10,22,2012-2013
4,Lazio Roma,10,19,2012-2013
5,ACF Fiorentina,10,18,2012-2013
6,Parma FC,10,15,2012-2013
7,AS Roma,10,14,2012-2013
8,Cagliari Calcio,10,14,2012-2013
9,Udinese Calcio,10,13,2012-2013
10,Atalanta,10,12,2012-2013
11,Calcio Catania,10,12,2012-2013
12,AC Milan,10,11,2012-2013
13,Torino FC,10,10,2012-2013
14,Sampdoria,10,10,2012-2013
15,Chievo Verona,10,10,2012-2013
16,Genoa CFC,10,9,2012-2013
17,US Palermo,10,8,2012-2013
18,Pescara Calcio,10,8,2012-2013
19,Bologna FC,10,7,2012-2013
20,AC Siena,10,3,2012-2013
1,AS Roma,10,30,2013-2014
2,SSC Napoli,10,25,2013-2014
3,Juventus,10,25,2013-2014
4,Inter,10,19,2013-2014
5,Hellas Verona,10,19,2013-2014
6,ACF Fiorentina,10,18,2013-2014
7,Lazio Roma,10,15,2013-2014
8,Atalanta,10,13,2013-2014
9,Udinese Calcio,10,13,2013-2014
10,AC Milan,10,12,2013-2014
11,Parma FC,10,12,2013-2014
12,Torino FC,10,11,2013-2014
13,Genoa CFC,10,11,2013-2014
14,Cagliari Calcio,10,10,2013-2014
15,AS Livorno,10,9,2013-2014
16,Sampdoria,10,9,2013-2014
17,Bologna FC,10,9,2013-2014
18,Calcio Catania,10,6,2013-2014
19,Sassuolo Calcio,10,6,2013-2014
20,Chievo Verona,10,4,2013-2014
1,Juventus,10,25,2014-2015
2,AS Roma,10,22,2014-2015
3,Lazio Roma,10,19,2014-2015
4,Sampdoria,10,19,2014-2015
5,SSC Napoli,10,18,2014-2015
6,Genoa CFC,10,18,2014-2015
7,Udinese Calcio,10,16,2014-2015
8,AC Milan,10,16,2014-2015
9,Inter,10,15,2014-2015
10,ACF Fiorentina,10,13,2014-2015
11,Hellas Verona,10,13,2014-2015
12,Torino FC,10,12,2014-2015
13,US Palermo,10,12,2014-2015
14,Sassuolo Calcio,10,11,2014-2015
15,Cagliari Calcio,10,9,2014-2015
16,Atalanta,10,9,2014-2015
17,AC Cesena,10,7,2014-2015
18,Empoli FC,10,7,2014-2015
19,Chievo Verona,10,5,2014-2015
20,Parma FC,10,-1,2014-2015
1,AS Roma,10,23,2015-2016
2,SSC Napoli,10,21,2015-2016
3,ACF Fiorentina,10,21,2015-2016
4,Inter,10,21,2015-2016
5,Sassuolo Calcio,10,18,2015-2016
6,Lazio Roma,10,18,2015-2016
7,Atalanta,10,17,2015-2016
8,AC Milan,10,16,2015-2016
9,Sampdoria,10,15,2015-2016
10,Torino FC,10,15,2015-2016
11,Chievo Verona,10,12,2015-2016
12,Juventus,10,12,2015-2016
13,Empoli FC,10,11,2015-2016
14,Genoa CFC,10,11,2015-2016
15,US Palermo,10,11,2015-2016
16,Udinese Calcio,10,11,2015-2016
17,Frosinone Calcio,10,10,2015-2016
18,Bologna FC,10,6,2015-2016
19,Hellas Verona,10,5,2015-2016
20,Carpi FC,10,5,2015-2016
1,Juventus,10,24,2016-2017
2,AS Roma,10,22,2016-2017
3,SSC Napoli,10,20,2016-2017
4,AC Milan,10,19,2016-2017
5,Lazio Roma,10,18,2016-2017
6,Genoa CFC,10,18,2016-2017
7,Atalanta,10,16,2016-2017
8,Torino FC,10,15,2016-2017
9,Chievo Verona,10,15,2016-2017
10,Inter,10,14,2016-2017
11,ACF Fiorentina,10,13,2016-2017
12,Udinese Calcio,10,13,2016-2017
13,Bologna FC,10,13,2016-2017
14,Sassuolo Calcio,10,13,2016-2017
15,Cagliari Calcio,10,13,2016-2017
16,Sampdoria,10,11,2016-2017
17,Pescara Calcio,10,7,2016-2017
18,Empoli FC,10,6,2016-2017
19,US Palermo,10,6,2016-2017
20,FC Crotone,10,2,2016-2017
1,SSC Napoli,10,28,2017-2018
2,Inter,10,26,2017-2018
3,Juventus,10,25,2017-2018
4,Lazio Roma,10,25,2017-2018
5,AS Roma,10,22,2017-2018
6,Sampdoria,10,18,2017-2018
7,ACF Fiorentina,10,16,2017-2018
8,AC Milan,10,16,2017-2018
9,Atalanta,10,15,2017-2018
10,Chievo Verona,10,15,2017-2018
11,Bologna FC,10,14,2017-2018
12,Torino FC,10,13,2017-2018
13,Cagliari Calcio,10,9,2017-2018
14,Udinese Calcio,10,9,2017-2018
15,Sassuolo Calcio,10,8,2017-2018
16,Genoa CFC,10,6,2017-2018
17,FC Crotone,10,6,2017-2018
18,Hellas Verona,10,6,2017-2018
19,SPAL 2013 Ferrara,10,5,2017-2018
20,Benevento Calcio,10,0,2017-2018
1,Juventus,10,28,2018-2019
2,Inter,10,22,2018-2019
3,SSC Napoli,10,22,2018-2019
4,AC Milan,10,18,2018-2019
5,Lazio Roma,10,18,2018-2019
6,Sampdoria,10,15,2018-2019
7,AS Roma,10,15,2018-2019
8,Sassuolo Calcio,10,15,2018-2019
9,ACF Fiorentina,10,15,2018-2019
10,Torino FC,10,14,2018-2019
11,Genoa CFC,10,14,2018-2019
12,Parma Calcio 1913,10,13,2018-2019
13,Cagliari Calcio,10,13,2018-2019
14,Atalanta,10,12,2018-2019
15,SPAL 2013 Ferrara,10,12,2018-2019
16,Udinese Calcio,10,9,2018-2019
17,Bologna FC,10,9,2018-2019
18,Empoli FC,10,6,2018-2019
19,Frosinone Calcio,10,5,2018-2019
20,Chievo Verona,10,-1,2018-2019
1,Juventus,10,26,2019-2020
2,Inter,10,25,2019-2020
3,Atalanta,10,21,2019-2020
4,AS Roma,10,19,2019-2020
5,Lazio Roma,10,18,2019-2020
6,SSC Napoli,10,18,2019-2020
7,Cagliari Calcio,10,18,2019-2020
8,ACF Fiorentina,10,15,2019-2020
9,AC Milan,10,13,2019-2020
10,Parma Calcio 1913,10,13,2019-2020
11,Sassuolo Calcio,10,12,2019-2020
12,Bologna FC,10,12,2019-2020
13,Hellas Verona,10,12,2019-2020
14,Torino FC,10,11,2019-2020
15,Udinese Calcio,10,10,2019-2020
16,US Lecce,10,9,2019-2020
17,Genoa CFC,10,8,2019-2020
18,Brescia Calcio,10,7,2019-2020
19,SPAL 2013 Ferrara,10,7,2019-2020
20,Sampdoria,10,5,2019-2020
1,AC Milan,10,26,2020-2021
2,Inter,10,21,2020-2021
3,SSC Napoli,10,20,2020-2021
4,Juventus,10,20,2020-2021
5,Sassuolo Calcio,10,19,2020-2021
6,AS Roma,10,18,2020-2021
7,Lazio Roma,10,17,2020-2021
8,Hellas Verona,10,16,2020-2021
9,Atalanta,9,14,2020-2021
10,Bologna FC,10,12,2020-2021
11,Cagliari Calcio,10,12,2020-2021
12,Sampdoria,10,11,2020-2021
13,Benevento Calcio,10,11,2020-2021
14,Udinese Calcio,9,10,2020-2021
15,Spezia Calcio,10,10,2020-2021
16,Parma Calcio 1913,10,10,2020-2021
17,ACF Fiorentina,10,9,2020-2021
18,Torino FC,10,6,2020-2021
19,Genoa CFC,10,6,2020-2021
20,FC Crotone,10,2,2020-2021
